Date,Open,High,Low,Close,Adj Close,Volume
2016-03-03,64.559998,65.239998,63.860001,65.199997,61.594524,880700
2016-03-04,65.250000,65.489998,64.080002,64.940002,61.348904,1176900
2016-03-07,64.769997,64.900002,63.959999,64.239998,60.687607,760800
2016-03-08,63.860001,65.239998,63.799999,64.870003,61.282772,953800
2016-03-09,65.410004,65.949997,64.870003,65.370003,61.755127,749200
2016-03-10,64.800003,65.080002,63.110001,64.970001,61.612873,2353500
2016-03-11,65.480003,66.400002,64.540001,65.980003,62.570702,1109400
2016-03-14,65.709999,67.279999,65.570000,66.830002,63.376778,850100
2016-03-15,66.570000,67.610001,66.500000,67.040001,63.575924,1237800
2016-03-16,66.500000,66.949997,66.169998,66.610001,63.168140,1207100
2016-03-17,66.639999,67.010002,65.769997,65.849998,62.447411,1891800
2016-03-18,65.870003,66.589996,63.889999,64.510002,61.176647,4397200
2016-03-21,64.250000,64.500000,63.680000,64.269997,60.949043,3101300
2016-03-22,64.099998,65.459999,63.750000,65.419998,62.039619,1504000
2016-03-23,64.610001,66.360001,64.519997,65.639999,62.248268,1584000
2016-03-24,65.349998,65.650002,63.799999,64.019997,60.711964,1560600
2016-03-28,64.339996,65.000000,64.070000,64.680000,61.337868,792100
2016-03-29,64.669998,65.580002,64.669998,65.570000,62.181877,1155800
2016-03-30,66.029999,66.690002,64.839996,65.169998,61.802536,1350400
2016-03-31,65.389999,66.550003,65.169998,66.379997,62.950020,1800300
2016-04-01,66.120003,66.660004,65.599998,66.089996,62.675007,1447500
2016-04-04,66.389999,66.389999,64.870003,65.550003,62.162914,1318300
2016-04-05,65.150002,65.620003,64.900002,64.980003,61.622364,1091700
2016-04-06,64.809998,65.029999,63.930000,64.949997,61.593906,1245200
2016-04-07,64.680000,65.629997,63.779999,64.260002,60.939568,938200
2016-04-08,64.400002,64.400002,63.480000,63.650002,60.361088,722000
2016-04-11,64.169998,64.699997,63.730000,64.279999,60.958530,1037600
2016-04-12,63.650002,64.050003,61.759998,63.150002,59.886921,1978400
2016-04-13,63.439999,64.169998,63.209999,63.950001,60.645588,1265600
2016-04-14,63.369999,64.330002,63.369999,63.669998,60.380051,677600
2016-04-15,63.820000,64.519997,63.500000,64.440002,61.110260,1272500
2016-04-18,64.029999,64.550003,63.900002,64.139999,60.825764,723500
2016-04-19,64.300003,64.529999,63.599998,64.169998,60.854214,856600
2016-04-20,64.129997,64.349998,63.759998,64.129997,60.816284,735500
2016-04-21,63.980000,64.339996,63.540001,63.810001,60.512821,625200
2016-04-22,63.700001,64.430000,63.549999,63.990002,60.683514,675600
2016-04-25,63.750000,64.199997,63.529999,64.169998,60.854214,649900
2016-04-26,64.209999,64.720001,63.910000,64.410004,61.081818,1249700
2016-04-27,65.089996,65.250000,63.590000,64.129997,60.816284,1163600
2016-04-28,63.590000,64.389999,62.669998,62.860001,59.611908,865800
2016-04-29,62.580002,62.580002,61.250000,61.709999,58.521320,1119000
2016-05-02,61.740002,63.180000,61.570000,63.009998,59.754147,748300
2016-05-03,62.090000,62.480000,61.619999,62.270000,59.052387,462300
2016-05-04,61.950001,62.970001,61.950001,62.580002,59.346375,836100
2016-05-05,62.689999,63.400002,62.689999,63.200001,59.934338,846700
2016-05-06,63.169998,64.260002,62.939999,64.029999,60.721451,1031100
2016-05-09,64.029999,64.559998,64.029999,64.500000,61.167160,689300
2016-05-10,64.330002,64.639999,64.050003,64.589996,61.252506,1140900
2016-05-11,64.430000,64.660004,63.439999,63.619999,60.332638,960800
2016-05-12,63.759998,64.349998,63.689999,64.180000,60.863693,720400
2016-05-13,64.089996,64.459999,63.450001,63.680000,60.389534,556700
2016-05-16,63.520000,63.980000,63.310001,63.730000,60.436947,517700
2016-05-17,63.730000,63.900002,62.310001,62.529999,59.298950,645700
2016-05-18,62.299999,63.189999,61.590000,63.049999,59.792084,1280100
2016-05-19,62.840000,63.450001,62.669998,63.040001,59.782608,634400
2016-05-20,63.410000,64.000000,63.080002,63.619999,60.332638,565300
2016-05-23,63.500000,63.790001,63.070000,63.570000,60.285213,624200
2016-05-24,64.000000,65.699997,63.840000,65.620003,62.229290,987900
2016-05-25,65.680000,65.919998,65.089996,65.500000,62.115479,821500
2016-05-26,65.379997,65.449997,64.660004,65.019997,61.660286,587100
2016-05-27,65.339996,65.690002,65.220001,65.669998,62.276691,424900
2016-05-31,65.750000,66.029999,65.360001,66.010002,62.599136,1240900
2016-06-01,65.500000,65.800003,65.379997,65.599998,62.210312,717600
2016-06-02,65.279999,65.500000,64.849998,65.150002,61.783577,424300
2016-06-03,64.900002,65.279999,64.209999,65.070000,61.707718,594100
2016-06-06,65.010002,65.459999,64.790001,65.129997,61.764595,509200
2016-06-07,65.110001,65.500000,64.860001,64.889999,61.537003,919700
2016-06-08,64.860001,65.290001,64.570000,65.220001,62.156487,519500
2016-06-09,65.160004,65.739998,64.879997,65.660004,62.575825,783800
2016-06-10,65.089996,65.949997,65.019997,65.580002,62.499569,748200
2016-06-13,65.279999,65.970001,65.089996,65.110001,62.051647,709700
2016-06-14,64.849998,65.379997,64.680000,64.889999,61.841980,928700
2016-06-15,64.870003,65.449997,64.660004,64.800003,61.756207,713200
2016-06-16,64.279999,64.910004,64.220001,64.889999,61.841980,660100
2016-06-17,64.589996,64.849998,63.820000,63.880001,60.879421,1300100
2016-06-20,64.610001,64.879997,63.049999,63.090000,60.126530,915800
2016-06-21,62.959999,63.349998,62.919998,62.970001,60.012169,986100
2016-06-22,63.090000,63.250000,62.889999,63.090000,60.126530,759000
2016-06-23,63.310001,64.419998,63.259998,64.410004,61.384537,710800
2016-06-24,62.160000,64.290001,61.779999,63.000000,60.040756,2018600
2016-06-27,62.360001,62.459999,61.189999,61.430000,58.544506,1023100
2016-06-28,61.750000,62.660000,61.430000,62.599998,59.659542,989500
2016-06-29,63.189999,64.089996,63.080002,64.089996,61.079556,828500
2016-06-30,64.419998,64.860001,64.010002,64.669998,61.632317,1398800
2016-07-01,64.709999,65.180000,64.510002,64.769997,61.727615,656700
2016-07-05,63.720001,64.750000,63.189999,64.589996,61.556072,805100
2016-07-06,64.639999,64.910004,64.339996,64.739998,61.699032,733400
2016-07-07,64.849998,65.199997,64.540001,64.919998,61.870575,712300
2016-07-08,65.419998,66.099998,65.230003,65.879997,62.785465,830100
2016-07-11,66.230003,66.529999,66.000000,66.430000,63.309666,477700
2016-07-12,66.699997,67.370003,66.589996,67.309998,64.148300,655700
2016-07-13,67.639999,67.709999,66.790001,67.169998,64.014885,567900
2016-07-14,67.639999,67.849998,66.940002,67.370003,64.205505,836700
2016-07-15,67.599998,67.599998,67.120003,67.510002,64.338905,910200
2016-07-18,68.660004,68.660004,67.440002,67.599998,64.424690,627400
2016-07-19,67.180000,68.080002,67.180000,68.070000,64.872620,517700
2016-07-20,68.160004,68.209999,67.639999,67.739998,64.558113,402400
2016-07-21,67.540001,67.610001,67.029999,67.370003,64.205505,396400
2016-07-22,67.320000,67.930000,67.220001,67.790001,64.605759,534500
2016-07-25,67.800003,68.440002,67.440002,68.440002,65.225220,640800
2016-07-26,68.470001,68.940002,68.089996,68.500000,65.282417,1247800
2016-07-27,68.500000,70.959999,68.470001,70.839996,67.512489,1420800
2016-07-28,70.820000,71.470001,70.419998,70.870003,67.541084,878900
2016-07-29,70.650002,71.419998,70.559998,70.760002,67.436256,808500
2016-08-01,71.000000,71.430000,70.650002,71.419998,68.065254,851200
2016-08-02,71.410004,71.410004,70.750000,71.199997,67.855583,570400
2016-08-03,71.320000,71.750000,70.820000,71.529999,68.170082,995400
2016-08-04,71.510002,71.879997,71.150002,71.430000,68.074783,1027800
2016-08-05,71.580002,71.690002,71.120003,71.180000,67.836525,816200
2016-08-08,71.360001,71.379997,70.449997,70.500000,67.188469,1122900
2016-08-09,70.669998,70.959999,70.110001,70.230003,66.931160,937400
2016-08-10,70.059998,70.540001,69.959999,70.320000,67.016930,989000
2016-08-11,70.669998,70.989998,69.629997,70.029999,66.740547,1152300
2016-08-12,69.879997,70.250000,69.639999,70.150002,66.854919,947100
2016-08-15,70.029999,70.239998,69.849998,70.089996,66.797714,636900
2016-08-16,69.900002,70.010002,69.260002,69.279999,66.025772,396500
2016-08-17,69.449997,70.300003,69.230003,70.209999,66.912071,843200
2016-08-18,70.309998,70.769997,70.220001,70.320000,67.016930,550200
2016-08-19,70.120003,70.440002,69.870003,70.440002,67.131287,697500
2016-08-22,70.150002,70.610001,70.120003,70.480003,67.169418,535300
2016-08-23,70.669998,70.760002,70.269997,70.559998,67.245651,480700
2016-08-24,70.400002,70.459999,70.050003,70.279999,66.978806,676300
2016-08-25,70.239998,70.820000,70.000000,70.620003,67.302834,747500
2016-08-26,70.830002,70.980003,70.050003,70.489998,67.178925,359600
